Country,totalInstrHrYr,mathPercentofTotalHr,mathInstrHrYr,avgMathScore,mathPercentile,sciencePercentile,avgSciScore,sciInstrHrYr,sciPercentofTotalHr
Singapore,1012,21,208,606,98,97,583,96,9
Korea Republic of,789,15,121,605,97,98,587,92,11
Hong Kong-CHN,1059,15,158,602,95,79,535,88,8
Chinese Taipei-CHN,989,12,133,591,93,90,552,90,9
Japan,891,17,150,585,91,93,559,91,10
Northern Ireland-GBR,970,24,232,562,90,57,517,72,8
North Carolina-USA,1113,20,221,554,88,83,538,94,9
Belgium (Flemish)-BEL,1010,21,224,549,86,45,509,0,0
Finland,779,18,139,545,84,95,570,98,13
Florida-USA,1073,20,217,545,83,88,545,113,10
England-GBR,970,19,188,542,81,69,529,76,8
Russian Federation,660,16,104,542,79,91,552,49,8
United States,1078,19,206,541,78,86,544,105,10
Netherlands,1074,18,195,540,76,71,531,42,4
Denmark,863,15,124,537,74,67,528,62,7
Lithuania,649,21,133,534,72,47,515,60,9
Quebec-CAN,916,25,229,533,71,55,516,50,5
Portugal,940,27,250,532,69,60,522,162,17
Germany,863,19,163,528,67,66,528,75,8
Ireland,854,18,150,527,66,53,516,63,7
Ontario-CAN,969,21,201,518,64,64,528,92,10
Serbia,778,20,153,516,62,48,516,72,10
Australia,1008,23,230,516,60,50,516,65,6
Hungary,760,20,148,515,59,78,534,72,10
Slovenia,684,25,169,513,57,59,520,101,15
Czech Republic,782,21,163,511,55,81,536,60,8
Austria,808,18,146,508,53,72,532,96,12
Italy,1085,20,214,508,52,62,524,78,7
Slovak Republic,780,19,147,507,50,74,532,101,13
Alberta-CAN,1006,17,169,507,48,84,541,130,13
Sweden,849,17,138,504,47,76,533,75,9
Kazakhstan,779,18,140,501,45,36,495,57,8
Malta,891,21,183,496,43,21,446,39,4
Norway,817,19,157,495,41,34,494,55,7
Croatia,776,18,134,490,40,52,516,95,13
New Zealand,925,18,168,486,38,38,497,52,6
Spain,884,19,167,482,36,41,505,145,16
Romania,796,19,148,482,34,43,505,56,7
Poland,764,21,157,481,33,40,505,64,8
Turkey,900,15,126,469,31,29,463,94,11
Dubai-UAE,993,16,158,468,29,28,461,99,10
Azerbaijan,804,18,130,463,28,19,438,61,8
Chile,1228,19,231,462,26,33,480,161,13
Thailand,1201,14,167,458,24,31,472,109,9
Armenia,851,16,139,452,22,14,416,54,6
Georgia,748,21,148,450,21,26,455,110,16
Bahrain,964,14,131,436,19,22,449,85,9
United Arab Emirates,1025,15,154,434,17,16,428,108,11
Iran,727,20,146,431,16,24,453,106,14
Abu Dhabi-UAE,1033,15,150,417,14,12,411,110,11
Qatar,1068,17,185,413,12,10,394,135,13
Saudi Arabia,977,15,147,410,10,17,429,82,8
Oman,999,17,170,385,9,9,377,120,12
Tunisia,963,19,175,359,7,5,346,93,10
Kuwait,928,13,120,342,5,7,347,85,10
Morocco,1040,17,174,335,3,3,264,44,5
Yemen,831,16,135,248,2,2,209,91,11
